Debater,Partner School,Rounds
Ari Hahn,Bates,91
Ari Hahn,Columbia,22
Ari Hahn,Northeastern,10
Ari Hahn,Lehigh,8
Aria Jolly,University of Chicago,10
Aria-Vue Daugherty,Harvard,26
Arianna Hellman,Tufts,20
Ariel Bernal,University of Virginia,10
Ariel Qi,Penn,4
Ariela Gjergji,Bentley University,6
Ariela Stoylar,CUNY,6
Arik Karim,George Washington,80
Arik Karim,Georgetown,10
Arik Karim,Brown,4
Arjan Singh,University of Virginia,2
Arjun Chopra,Brown,2
Armaan Kalsi,Yale,4
Arman Entezar,Brandeis,20
Arman Kassam,Tufts,8
Arman Kassam,MIT,4
Arman Syed,Bates,36
Arman Syed,Amherst,9
Arman Tendulkar,Tufts,11
Armin Sumansky,Bates,4
Arnav Khode,University of Virginia,8
Arnav Khode,University of Pittsburgh,4
Arnav Nigam,University of Chicago,14
Arnav Paliwal,Carnegie Mellon,38
Arnav Paliwal,Dartmouth,2
Arnav Paliwal,George Washington,2
Arnold Miao,Amherst,4
Aroush Amir Ali,Wellesley,10
Arth Gupta,Carnegie Mellon,8
Arthur Park,Penn,10
Arthur Park,Johns Hopkins,8
Arun Sharma,Yale,18
Arushi Agarwal,Penn,8
Arya Royal,University of Virginia,10
Arya Royal,George Washington,4
Arya Royal,University of Pittsburgh,4
Aryan Agarwal,Yale,24
Aryan Sehgal,Yale,14
Aryan Sehgal,Bard,8
Aryan Singh,Johns Hopkins,8
Aryanna Ram,Dartmouth,32
Ash Bu,Harvard,24
Asher Nyhoff,Dartmouth,4
Asher Spector,Harvard,20
Ashley Fan,Princeton,6
Ashley Ganesh,Smith,2
Ashley Kim,Lehigh,10
Ashley Kim,Bates,8
Ashley Mui,NYU,6
Ashton Higgins,Johns Hopkins,16
Ashton Higgins,Brown,12
Ashton Higgins,Amherst,6
Ashton Higgins,Northeastern,6
Ashton Higgins,Yale,5
Ashvika Singhal,Princeton,4
Ashvin Baker,Boston University,8
Ashwin Laksumanage,University of Chicago,6
Asim Omi,Stony Brook University,2
Atharv Dimri,Wesleyan,8
Athena Siow,Harvard,6
Athena Wooters,American,6
Athena Zhou,Harvard,6
Atlas Tan,Williams,6
Atlas Tan,Penn,4
Atlas Tan,Harvard,2
Atticus Hempel,Northeastern,2
Aubrey Shen,Columbia,7
Audra Plackner,Pace,14
Audrey An,Johns Hopkins,6
Audrey Hardymon,William and Mary,12
Audrey Higley,Brown,6
Audrey Higley,Boston University,4
Audrey J. Higley,Wellesley,16
Audrey J. Higley,Boston University,6
Audrey Shing,Northeastern,10
Audrey Shing,Brown,6
Audrey Shing,Wellesley,6
Audrey Shing,Tufts,4
Audrey Shing,Smith,2
Audrey Tao,Wellesley,22
Audrey Zhou,Amherst,16
Austin Goldsmith-Lachut,Harvard,12
Austin Stapleton,Hamilton,2
Ava Blakeley,Williams,6
Ava Blakley,Williams,10
Ava Bridges,Bowdoin College,8
Ava Graff,Columbia,1
Ava Schneiberg,Georgetown,14
Ava Stryker-Robbins,Brown,2
Avian Caldwell,University of Massachusetts,6
Avirul Islam,NYU,6
Avni Chadha,Yale,43
Avni Chadha,Harvard,4
Ayanna Uppal,Princeton,10
Ayomade Adeolu-Akande,Dartmouth,50
Ayush Ajmani,Dartmouth,2
Ayush Gupta,Georgetown,6
Azima Aidarov,Brown,6
Azima Aidarov,Boston University,4
Bart Kaminski,George Washington,56
Bart Kaminski,William and Mary,50
Bart Kaminski,University of Virginia,24
Bart Kaminski,Johns Hopkins,12
Bart Kaminski,Wellesley,4
Bart Kaminski,Harvard,2
Bartholomew Kaminski,William and Mary,12
Bartholomew Kaminski,University of Virginia,8
Bartholomew Kaminski,George Washington,7
Bartholomew Kaminski,Georgetown,5
Bartholomew Kaminski,Johns Hopkins,4
Baylee Baker,Lehigh,22
Bekah Agwunobi,Columbia,19
Bela Bhushan,Wesleyan,6
Bellagio Ti,Pace,8
Ben Anderson,Stanford,8
Ben Cortez,University of Chicago,10
Ben Daniels,Yale,4
Ben Horning,Georgetown,10
Ben Kessler,Rutgers,5
Ben Kessler,Johns Hopkins,4
Ben Kessler,Swarthmore,2
Ben Koch,University of Chicago,88
Ben Koch,Yale,10
Ben Lee,Swarthmore,6
Ben Lee,Princeton,2
Ben Levy,Brown,2
Ben Park,Yale,54
Ben Scherzer,Columbia,26
Ben Scherzer,Johns Hopkins,12
Ben Schwartz,Stanford,4
Ben Who,Brown,2
Benedict Morrow,University of Massachusetts,22
Benjamin Grimes,Brandeis,18
Benjamin Grimes,Columbia,6
Benjamin Mione,Rutgers,24
Benjamin Mione,Columbia,4
Benjamin Risman,Brandeis,12
Benjamin Scherzer,Columbia,28
Benjamin Scherzer,George Washington,6
Benjamin Scherzer,Yale,2
Benjamin Thomas,Stanford,145
Benji Grimes,Brandeis,46
Benji Grimes,Brown,20
Benji Grimes,Tufts,15
Benji Grimes,Columbia,6
Benji Grimes,Rutgers,4
Benji Grimes,Boston University,3
Benny Nicholson,University of Chicago,46
Benny Nicholson,Yale,6
Benny Nicholson,Johns Hopkins,2
Berk Oto,University of Virginia,4
Betty Dong,Northwestern,10
Betty Dong,Smith,6
Betty Nguyen,Harvard,6
Bhavani Nair,University of Delaware,7
Bianca Ly,Harvard,13
Bijan Taheri,Swarthmore,21
Bill Chung,Harvard,8
Bill Chung,University of Chicago,6
Bishwo Jeet Bista,Harvard,8
Blaise Trodden,Bentley University,4
